strain,growth_rate_ratio,mtdna_ratio,simulation_index,time,mean_h,nspl,ndau,ngen,startbud
WT and WT,1.0,0.2,1,14.8369631,0.156011962890625,5,11,14,32
WT and WT,1.0,0.2,1,16.32065941,0.1561126708984375,5,11,14,32
WT and WT,1.0,0.2,1,17.80435572,0.15641326904296876,5,11,14,32
WT and WT,1.0,0.2,1,19.28805203,0.15650711059570313,5,11,14,32
WT and WT,1.0,0.2,1,20.771748340000002,0.15654029846191406,5,11,14,32
WT and WT,1.0,0.1,0,0.0,0.09375,5,11,14,32
WT and WT,1.0,0.1,0,1.48369631,0.078125,5,11,14,32
WT and WT,1.0,0.1,0,2.96739262,0.0828125,5,11,14,32
WT and WT,1.0,0.1,0,4.45108893,0.0828125,5,11,14,32
WT and WT,1.0,0.1,0,5.93478524,0.089453125,5,11,14,32
WT and WT,1.0,0.1,0,7.41848155,0.0896484375,5,11,14,32
WT and WT,1.0,0.1,0,8.90217786,0.08955078125,5,11,14,32
WT and WT,1.0,0.1,0,10.385874170000001,0.089990234375,5,11,14,32
WT and WT,1.0,0.1,0,11.86957048,0.0906005859375,5,11,14,32
WT and WT,1.0,0.1,0,13.35326679,0.09039306640625,5,11,14,32
WT and WT,1.0,0.1,0,14.8369631,0.090203857421875,5,11,14,32
WT and WT,1.0,0.1,0,16.32065941,0.0904510498046875,5,11,14,32
WT and WT,1.0,0.1,0,17.80435572,0.0904541015625,5,11,14,32
WT and WT,1.0,0.1,0,19.28805203,0.09031829833984376,5,11,14,32
WT and WT,1.0,0.1,0,20.771748340000002,0.09037818908691406,5,11,14,32
WT and WT,1.0,0.1,1,0.0,0.09375,5,11,14,32
WT and WT,1.0,0.1,1,1.48369631,0.1,5,11,14,32
WT and WT,1.0,0.1,1,2.96739262,0.109375,5,11,14,32
WT and WT,1.0,0.1,1,4.45108893,0.103125,5,11,14,32
WT and WT,1.0,0.1,1,5.93478524,0.106640625,5,11,14,32
WT and WT,1.0,0.1,1,7.41848155,0.10703125,5,11,14,32
WT and WT,1.0,0.1,1,8.90217786,0.102734375,5,11,14,32
WT and WT,1.0,0.1,1,10.385874170000001,0.10390625,5,11,14,32
WT and WT,1.0,0.1,1,11.86957048,0.103173828125,5,11,14,32
WT and WT,1.0,0.1,1,13.35326679,0.10264892578125,5,11,14,32
WT and WT,1.0,0.1,1,14.8369631,0.103033447265625,5,11,14,32
WT and WT,1.0,0.1,1,16.32065941,0.1023406982421875,5,11,14,32
WT and WT,1.0,0.1,1,17.80435572,0.10216827392578125,5,11,14,32
WT and WT,1.0,0.1,1,19.28805203,0.10200424194335937,5,11,14,32
WT and WT,1.0,0.1,1,20.771748340000002,0.10197372436523437,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,0,0.0,0.40625,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,0,1.48369631,0.4125,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,0,2.96739262,0.40625,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,0,4.45108893,0.4251644736842105,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,0,5.93478524,0.4319349315068493,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,0,7.41848155,0.42657342657342656,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,0,8.90217786,0.4123448581560284,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,0,10.385874170000001,0.4045668761220826,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,0,11.86957048,0.39507090576395243,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,0,13.35326679,0.3879230412610107,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,0,14.8369631,0.378746754779325,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,0,16.32065941,0.36915189302884616,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,0,17.80435572,0.3601191385950969,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,0,19.28805203,0.3501168933217153,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,0,20.771748340000002,0.3407412202333892,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,1,0.0,0.40625,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,1,1.48369631,0.3875,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,1,2.96739262,0.3984375,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,1,4.45108893,0.3998397435897436,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,1,5.93478524,0.38501602564102566,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,1,7.41848155,0.3739513422818792,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,1,8.90217786,0.3701840753424658,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,1,10.385874170000001,0.3678477112676056,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,1,11.86957048,0.3625,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,1,13.35326679,0.3541998407643312,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,1,14.8369631,0.3443231947991642,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,1,16.32065941,0.33629915564478036,5,11,14,32
WT (ic) and ∆atp6,0.9311441347234344,0.71,1,17.80435572,0.32861164350742694,5,11,14,32
